seg,seg,cj1_cou,cj1_sum,cj1_rat,cj2_cou,cj2_sum,cj2_rat,cj3_cou,cj3_sum,cj3_rat,cj4_cou,cj4_sum,cj4_rat,cj5_cou,cj5_sum,cj5_rat,cj6_cou,cj6_sum,cj6_rat,cj7_cou,cj7_sum,cj7_rat,cj8_cou,cj8_sum,cj8_rat,cj9_cou,cj9_sum,cj9_rat,cj10_cou,cj10_sum,cj10_rat
0,0,13197,13197,0.024163558563259746,6146,6146,0.07626918829033419,5264,5264,0.06691326952166674,10483,10483,0.01925107567657899,13765,13765,0.025222402404053174,6924,6924,0.09861562126132285,5905,5905,0.01085639589718322,5466,5466,0.010050879589874098,9908,9908,0.01818372017478982,8521,8521,0.015720068038505956
1,1,2,13199,0.024167220540764218,2,6148,0.07629400742092005,0,5264,0.06691326952166674,0,10483,0.01925107567657899,0,13765,0.025222402404053174,3,6927,0.09865834900017091,0,5905,0.01085639589718322,0,5466,0.010050879589874098,8,9916,0.018198402225798934,0,8521,0.015720068038505956
2,2,16,13215,0.024196516360799995,1,6149,0.07630641698621297,1,5265,0.06692598100903786,1,10484,0.01925291208559135,17,13782,0.025253552483302643,1,6928,0.09867259157978693,17,5922,0.010887650550909235,12,5478,0.0100729451872174,34,9950,0.018260800942587675,2,8523,0.01572375776225634
3,3,0,13215,0.024196516360799995,16,6165,0.07650497003089982,35,5300,0.06737088306702767,32,10516,0.0193116771739869,73,13855,0.025387314588315054,4,6932,0.09872956189825101,1,5923,0.010889489059951941,0,5478,0.0100729451872174,7,9957,0.01827364773722065,1,8524,0.015725602624131533
4,4,32,13247,0.02425510800087155,5,6170,0.07656701785736446,2,5302,0.06739630604176995,6,10522,0.019322695628061066,8,13863,0.025401973449138335,7,6939,0.09882925995556315,29,5952,0.010942805822190437,10,5488,0.010091333185003484,40,9997,0.01834705799226623,1,8525,0.015727447486006723
5,5,1,13248,0.024256938989623788,6,6176,0.07664147524912203,1,5303,0.06740901752914108,8,10530,0.01933738690015995,35,13898,0.025466105965240175,15,6954,0.09904289864980345,1,5953,0.010944644331233143,0,5488,0.010091333185003484,9,10006,0.018363575299651484,1,8526,0.015729292347881913
6,6,58,13306,0.02436313633725348,33,6209,0.07705099090378864,111,5414,0.06881999262733733,93,10623,0.01950817293830951,209,14107,0.025849068704248322,20,6974,0.09932775024212386,72,6025,0.011077016982308027,27,5515,0.010140980779025914,82,10088,0.018514066322494922,2,8528,0.015732982071632297
7,7,2,13308,0.02436679831475795,6,6215,0.07712544829554621,3,5417,0.06885812708945074,21,10644,0.01954673752756909,35,14142,0.025913201220350162,58,7032,0.10015381985985301,0,6025,0.011077016982308027,0,5515,0.010140980779025914,36,10124,0.018580135552035942,0,8528,0.015732982071632297
8,8,114,13422,0.02457553103251287,13,6228,0.07728677264435427,4,5421,0.06890897303893528,33,10677,0.019607339024976998,96,14238,0.0260891075502295,85,7117,0.10136443912721473,115,6140,0.0112884455222193,29,5544,0.010194305972605561,162,10286,0.018877447084970536,2,8530,0.01573667179538268
9,9,8,13430,0.024590178942530756,27,6255,0.07762183090726332,281,5702,0.07248090099022486,188,10865,0.019952583919300843,378,14616,0.0267817387241294,135,7252,0.10328718737537743,2,6142,0.011292122540304714,0,5544,0.010194305972605561,96,10382,0.019053631697079923,0,8530,0.01573667179538268
10,10,162,13592,0.024886799120393002,10,6265,0.0777459265601926,6,5708,0.07255716991445169,52,10917,0.020048077187943606,109,14725,0.02698146570284657,183,7435,0.1058935794451091,182,6324,0.011626731186077339,52,5596,0.010289923561093203,360,10742,0.01971432399249013,4,8534,0.015744051242883444
11,11,9,13601,0.024903278019163127,12,6277,0.07789484134370774,13,5721,0.07272241925027648,74,10991,0.020183971454858313,210,14935,0.02736626079945762,249,7684,0.1094399817694981,8,6332,0.011641439258418993,0,5596,0.010289923561093203,204,10946,0.02008871629322258,1,8535,0.015745896104758638
12,12,312,13913,0.02547454650986079,38,6315,0.07836640482483899,622,6343,0.08062896439512388,307,11298,0.0207477490216531,641,15576,0.028540802022922793,348,8032,0.11439639947587307,208,6540,0.012023849139301991,82,5678,0.010440705142939101,548,11494,0.021094436787347008,16,8551,0.0157754138947617
13,13,27,13940,0.025523983206171164,16,6331,0.07856495786952583,19,6362,0.08087048265517548,118,11416,0.020964445285111682,295,15871,0.02908134751578118,437,8469,0.12062040676807384,5,6545,0.012033041684515525,0,5678,0.010440705142939101,397,11891,0.021823033568674377,4,8555,0.015782793342262465
14,14,255,14195,0.02599088533799137,20,6351,0.07881314917538439,46,6408,0.0814552110742478,183,11599,0.02130050813437372,350,16221,0.029722672676799605,514,8983,0.12794109269070814,299,6844,0.012582755888284837,101,5779,0.01062642392057856,825,12716,0.023337120078989436,27,8582,0.015832604612892633
15,15,26,14221,0.026038491045549506,39,6390,0.07929712222180857,1173,7581,0.09636578576059185,404,12003,0.022042417375367513,823,17044,0.031230702983994357,575,9558,0.13613057596991968,21,6865,0.012621364578181677,0,5779,0.01062642392057856,687,13403,0.024597941209397248,6,8588,0.01584367378414378
16,16,284,14505,0.026558491851184557,23,6413,0.07958254222354591,49,7630,0.09698864864177757,325,12328,0.022639250304384795,531,17575,0.03220368487113945,633,10191,0.14514612886686037,381,7246,0.01332183652345294,149,5928,0.010900405087591228,1142,14545,0.026693803990948516,39,8627,0.015915623397276247
17,17,25,14530,0.02660426656999046,15,6428,0.07976868570293982,99,7729,0.09824708589152016,334,12662,0.023252610914513323,602,18177,0.03330676414809114,714,10905,0.15531533071269868,21,7267,0.013360445213349783,0,5928,0.010900405087591228,1030,15575,0.028584118058372163,7,8634,0.015928537430402585
18,18,290,14820,0.02713525330813893,33,6461,0.08017820135760645,1738,9467,0.12033965094255679,517,13179,0.024202034373903895,967,19144,0.035078653950104906,823,11728,0.1670369737366832,498,7765,0.014276022716617731,150,6078,0.011176225054382503,1535,17110,0.03140123659574624,39,8673,0.01600048704353505
19,19,65,14885,0.027254267577034273,30,6491,0.08055048831639428,87,9554,0.12144555034384573,498,13677,0.025116566062059607,763,19907,0.03647674280112507,888,12616,0.179684384435709,55,7820,0.014377140713966601,0,6078,0.011176225054382503,1567,18677,0.03427708333715678,24,8697,0.016044763728539645
